Player,Club,POS,GP,GS,MINS,Year,Season
Matt Kmosko,COL,D,31,31,2788,1996,reg
Sean Henderson,COL,M,9,9,780,1996,reg
Zak Ibsen,DAL,M,22,18,1601,1996,reg
Ted Chronopoulos,NE ,D,14,11,1000,1996,reg
Brad Wilson,LA ,D,22,14,969,1996,reg
Tim Martin,SJ ,D,32,32,2871,1996,reg
John Garvey,LA ,F,13,3,517,1996,reg
Ante Razov,LA ,F,3,1,172,1996,reg
Dante Washington,CLB,F,9,2,317,1996,reg
Brian Bliss,CLB,D,19,19,1566,1996,reg
Chad Ashton,DAL,M,23,10,974,1996,reg
Diego Gutierrez,KC ,D,28,24,2068,1996,reg
John DeBrito,NE ,D,21,18,1537,1996,reg
Paul Wright,KC ,F,17,7,690,1996,reg
Sean Bowers,KC ,D,31,31,2769,1996,reg
Eddie Lewis,SJ ,M,25,13,1253,1996,reg
Evans Wise,TB ,M,23,17,1512,1996,reg
Ruben Hernandez,MET,M,10,9,836,1996,reg
Felipe Rodriguez,COL,M,10,5,472,1996,reg
Manny Lagos,MET,M,6,6,483,1996,reg
Eric Eichmann,KC ,F,15,4,481,1996,reg
Kevin Wylie,NE ,F,22,22,1839,1996,reg
Victor Mella,NE ,M,8,6,583,1996,reg
Michael Emenalo,SJ ,D,29,28,2534,1996,reg
Petter Villegas,MET,M,3,2,165,1996,reg
Obi Monome,CLB,M,1,0,26,1996,reg
Andrew Shue,LA ,F,5,0,96,1996,reg
Todd Miller,CLB,M,3,2,157,1996,reg
Iain Fraser,NE ,D,23,23,2070,1996,reg
Denis Hamlett,COL,D,31,31,2790,1996,reg
Brian Kamler,DC ,M,12,3,470,1996,reg
Kevin Koetters,KC ,M,15,6,743,1996,reg
David Vaudreuil,DC ,D,14,13,1147,1996,reg
Damian Silvera,MET,M,15,8,804,1996,reg
Manny Motajo,LA ,D,20,16,1486,1996,reg
Curt Onalfo,LA ,D,13,7,688,1996,reg
Nidal Baba,MET,M,3,1,190,1996,reg
Raimo De Vries,COL,F,4,4,355,1996,reg
Adam Frye,TB ,D,15,9,725,1996,reg
Rob Smith,CLB,M,9,9,765,1996,reg
Dan Calichman,LA ,D,28,28,2372,1996,reg
Scott Cannon,COL,D,21,16,1582,1996,reg
Matt McKeon,KC ,D,12,9,823,1996,reg
Edmundo Rodriguez,MET,M,11,5,473,1996,reg
Samuel Ekeme,KC ,D,23,19,1693,1996,reg
George Gelnovatch,DC ,M,2,2,135,1996,reg
Said Fazlagic,DC ,D,2,1,136,1996,reg
