Player,Club,POS,GP,GS,MINS,Year,Season
Ryan Nelsen,DC ,D,25,25,2314,2003,reg
Richard Mulrooney,SJ ,M,25,25,2330,2003,reg
Ian Russell,SJ ,D,18,16,1337,2003,reg
Kyle Beckerman,RSL,M,28,24,2123,2003,reg
Frankie Hejduk,CLB,D,23,23,2128,2003,reg
Jake Traeger,CLB,D,1,0,12,2003,reg
Casey Schmidt,COL,F,13,1,359,2003,reg
Zach Kingsley,COL,M,12,5,477,2003,reg
Pablo Mastroeni,COL,M,18,18,1655,2003,reg
Hong Myung Bo,LA ,D,25,25,2296,2003,reg
Leo Cullen,NE ,M,26,18,1563,2003,reg
Daniel Hernandez,NE ,M,9,4,520,2003,reg
Craig Waibel,SJ ,D,24,22,1991,2003,reg
Wes Hart,COL,D-M,29,29,2623,2003,reg
Richie Williams,MET,M,26,26,2337,2003,reg
Danny Califf,LA ,D,23,23,2162,2003,reg
Mauricio Cienfuegos,LA ,M,20,15,1342,2003,reg
Alex Pineda Chacon,CLB,M,14,7,700,2003,reg
Eddie Pope,MET,D,20,20,1724,2003,reg
Jorge Vazquez,KC ,M,4,2,197,2003,reg
Jonathan Bolanos,CHI,M,2,1,92,2003,reg
Ryan Futagaki,CHI,M,6,2,218,2003,reg
Bryan Namoff,DC ,D,22,17,1663,2003,reg
Carey Talley,KC ,D,20,13,1341,2003,reg
Paul Broome,DAL,M,11,8,748,2003,reg
C.J. Brown,CHI,D,21,19,1728,2003,reg
Mike Clark,CLB,D,29,29,2673,2003,reg
Jim Curtin,CHI,D,30,30,2733,2003,reg
Jose Alegria,DC ,M,17,13,1091,2003,reg
Rodrigo Faria,CHI,F,9,7,578,2003,reg
Nick Downing,NE ,D,0,0,0,2003,reg
Tony Frias,NE ,M,0,0,0,2003,reg
Jeff Moore,MET,M,0,0,0,2003,reg
Stephen Herdsman,COL,D,3,3,198,2003,reg
Carl Bussey,DAL,M,0,0,0,2003,reg
Billy Sleeth,COL,D,0,0,0,2003,reg
Isaias Bardales Jr.,LA ,F,1,0,21,2003,reg
Daniel Torres,CLB,D,8,6,561,2003,reg
Craig Capano,CHI,M,5,1,120,2003,reg
Carlos Llamosa,NE ,D,24,23,2001,2003,reg
Gilles Grimandi,COL,M-D,0,0,0,2003,reg
Kevin Friedland,KC ,D,0,0,0,2003,reg
Tim Glowienka,MET,D,0,0,0,2003,reg
Ricky Lewis,LA ,D,13,7,794,2003,reg
Johanes Maliza,SJ ,M,0,0,0,2003,reg
Andres Murriagui,CLB,M,0,0,0,2003,reg
Trevor Perea,CLB,M,2,0,37,2003,reg
Michael Piserchio,COL,D-M,0,0,0,2003,reg
Jose Retiz,LA ,M,5,0,111,2003,reg
Michael Ritch,CLB,F,3,0,21,2003,reg
Chris Bagley,NE ,F,3,0,59,2003,reg
Hérculez Gómez,LA ,F,1,0,5,2003,reg
Roger Levesque,SJ ,M,3,0,41,2003,reg
Nat Borchers,COL,D,23,22,2101,2003,reg
Brian Carroll,DC ,M,0,0,0,2003,reg
Devin Barclay,DC ,F,3,1,113,2003,reg
Taylor Graham,KC ,D,2,0,10,2003,reg
Jack Jewsbury,KC ,M,2,1,60,2003,reg
Nick Walls,CHI,M,0,0,0,2003,reg
Andy Rosenband,DAL,M,0,0,0,2003,reg
David Stokes,DC ,D,0,0,0,2003,reg
Jason Thompson,DAL,F,0,0,0,2003,reg
Scot Thompson,LA ,D,0,0,0,2003,reg
Mandi Urbas,DAL,M,3,0,40,2003,reg
Alex Blake,COL,F,3,0,23,2003,reg
Ibrahim Kante,NE ,F,2,0,64,2003,reg
Juan Forchetti,MET,D,10,8,775,2003,reg
Daryl Powell,COL,M,5,4,335,2003,reg
Brandon Prideaux,DC ,D,28,27,2586,2003,reg
Jeff Stewart,COL,D,8,7,607,2003,reg
Jordan Stone,DAL,M,16,9,1055,2003,reg
Robin Fraser,COL,D,26,26,2335,2003,reg
Joseph Addo,MET,D,8,7,699,2003,reg
Nelson Akwari,CLB,D,11,5,486,2003,reg
Daouda Kante,NE ,D,16,14,1319,2003,reg
Rusty Pierce,NE ,D,21,21,1878,2003,reg
Jose Burciaga Jr.,KC ,D,4,4,347,2003,reg
Jose Galvan,MET,M,9,2,264,2003,reg
Guillermo Gonzalez,LA ,M,6,1,129,2003,reg
Alberto Rizo,COL,D,6,3,296,2003,reg
Troy Dayak,SJ ,D,9,8,784,2003,reg
Marshall Leonard,NE ,M,10,5,549,2003,reg
Kenny Arena,MET,D,10,5,458,2003,reg
Chris Leitch,MET,D,15,10,991,2003,reg
Mark Williams,CLB,D,5,5,391,2003,reg
Philip Salyer,DAL,D,8,5,491,2003,reg
Chad McCarty,CLB,D,19,14,1224,2003,reg
Mike Nugent,MET,F,1,1,90,2003,reg
Tenywa Bonseu,DAL,D,20,20,1789,2003,reg
Joey DiGiamarino,MET,M,18,16,1445,2003,reg
Jason Moore,NE ,M,13,1,326,2003,reg
Logan Pause,CHI,M,23,15,1351,2003,reg
Tim Regan,MET,D,15,7,745,2003,reg
Jesus Ochoa,LA ,M,10,7,569,2003,reg
Edgar Bartolomeu,MET,D,13,11,999,2003,reg
Arturo Torres,LA ,F,9,3,333,2003,reg
Matt Behncke,DAL,D,13,9,826,2003,reg
Steve Morrow,DAL,D,17,17,1484,2003,reg
Nick Garcia,KC ,D,29,29,2689,2003,reg
Thiago Martins,DC ,F,5,4,359,2003,reg
Peter Vagenas,LA ,M,20,18,1723,2003,reg
Tyrone Marshall,LA ,D,25,19,1880,2003,reg
Diego Gutierrez,KC ,D,20,17,1558,2003,reg
Duncan Oughton,CLB,D,23,18,1715,2003,reg
Brian Ching,SJ ,F,25,21,1952,2004,reg
Eddie Johnson,DAL,F,26,25,2269,2004,reg
Pat Noonan,NE ,F,29,29,2545,2004,reg
Damani Ralph,CHI,F,26,25,2249,2004,reg
Carlos Ruiz,LA ,F,20,18,1586,2004,reg
Edson Buddle,CLB,F,24,20,1720,2004,reg
Amado Guevara,MET,M,24,23,2110,2004,reg
Josh Wolff,KC ,F,26,25,2252,2004,reg
John Wolyniec,MET,F,30,23,2047,2004,reg
Alecko Eskandarian,DC ,F,24,19,1626,2004,reg
Davy Arnaud,KC ,M,30,30,2626,2004,reg
Jeff Cunningham,CLB,F,30,19,1853,2004,reg
Taylor Twellman,NE ,F,23,23,2050,2004,reg
Jovan Kirovski,LA ,M-F,24,23,1983,2004,reg
Jaime Moreno,DC ,F,27,27,2279,2004,reg
Steve Ralston,NE ,M,30,30,2700,2004,reg
Eddie Gaven,MET,M,29,29,2578,2004,reg
Peguero Jean Philippe,COL,F,18,16,1388,2004,reg
Ross Paule,CLB,M,25,23,2057,2004,reg
Clint Dempsey,NE ,M-F,24,23,2024,2004,reg
Landon Donovan,SJ ,M-F,23,22,2018,2004,reg
Alejandro Moreno,LA ,F,25,12,1292,2004,reg
Cornell Glen,MET,F,18,10,964,2004,reg
Toni Nhleko,DAL,F,23,13,1184,2004,reg
Freddy Adu,DC ,F,30,14,1435,2004,reg
Dwayne De Rosario,SJ ,M,21,12,1211,2004,reg
Kyle Martino,CLB,M,29,27,2301,2004,reg
Jason Kreis,DAL,M,25,19,1703,2004,reg
Fabian Taylor,MET,F,21,8,877,2004,reg
Andy Williams,CHI,M,25,23,2023,2004,reg
Chris Klein,KC ,M,19,19,1694,2004,reg
Andreas Herzog,LA ,M-F,27,25,2048,2004,reg
Nate Jaqua,CHI,F,26,21,1832,2004,reg
Ronnie Ekelund,SJ ,M,26,24,2016,2004,reg
Joseph Ngwenya,LA ,F,22,8,876,2004,reg
Jordan Cila,COL,F-M,21,15,1308,2004,reg
Ante Razov,CHI,F,13,11,996,2004,reg
John Spencer,COL,F,22,19,1750,2004,reg
Andy Herron,CHI,F,4,3,309,2004,reg
Christian Gomez,DC ,M,9,8,581,2004,reg
Jose Cancela,NE ,M,25,24,1957,2004,reg
Brian Mullan,SJ ,D,28,28,2408,2004,reg
Chris Henderson,COL,M,29,29,2562,2004,reg
Justin Mapp,CHI,M,24,19,1625,2004,reg
Diego Gutierrez,KC ,D,28,28,2520,2004,reg
Mike Magee,MET,M,22,18,1534,2004,reg
Earnie Stewart,DC ,M,26,23,2093,2004,reg
Ben Olsen,DC ,M,25,25,2046,2004,reg
Mark Chung,COL,M,22,21,1914,2004,reg
Sasha Victorine,LA ,M,26,25,2264,2004,reg
Matt Taylor,KC ,F,17,4,522,2004,reg
Ramiro Corrales,SJ ,M,29,28,2474,2004,reg
Dema Kovalenko,DC ,M,25,25,2163,2004,reg
Ronnie O'Brien,DAL,M,29,29,2581,2004,reg
Bobby Rhine,DAL,M,19,6,688,2004,reg
Jack Jewsbury,KC ,M,22,15,1406,2004,reg
Brad Davis,DAL,M,29,24,1945,2004,reg
Tyrone Marshall,LA ,D,18,17,1448,2004,reg
Tony Sanneh,CLB,D,6,6,513,2004,reg
Andy Dorman,NE ,M,20,2,362,2004,reg
Nat Borchers,COL,D,29,29,2610,2004,reg
Chris Brown,SJ ,M-F,11,7,558,2004,reg
Duncan Oughton,CLB,D,28,21,2018,2004,reg
Ronald Cerritos,DC ,F,10,6,543,2004,reg
Sergio Galvan Rey,MET,F,20,10,866,2004,reg
Ryan Nelsen,DC ,D,17,17,1417,2004,reg
Dipsy Selolwane,CHI,F,19,5,623,2004,reg
Frankie Hejduk,CLB,D,20,19,1643,2004,reg
Richard Mulrooney,SJ ,M,30,30,2700,2004,reg
Chris Armas,CHI,M,21,20,1820,2004,reg
Oscar Pareja,DAL,M,24,12,1095,2004,reg
Chris Albright,LA ,D,24,24,2111,2004,reg
Simo Valakari,DAL,M,26,26,2297,2004,reg
Jeff Agoos,SJ ,D,24,24,2152,2004,reg
Matt Crawford,COL,M,30,28,2533,2004,reg
Joshua Gros,DC ,M-D,29,21,2084,2004,reg
Ned Grabavoy,LA ,M,15,11,927,2004,reg
Alberto Delgado,COL,F,13,9,741,2004,reg
Eric Quill,DAL,F,23,16,1377,2004,reg
Felix Brillant,NE ,M-F,19,6,850,2004,reg
Manny Lagos,CLB,M,18,8,763,2004,reg
Jay Heaps,NE ,D,28,26,2415,2004,reg
Arturo Torres,LA ,F,18,5,591,2004,reg
Kyle Beckerman,RSL,M,29,25,2241,2004,reg
Michael Ritch,CLB,F,12,4,395,2004,reg
Seth Trembly,COL,M-D,24,5,755,2004,reg
Jose Burciaga Jr.,KC ,D,24,21,1875,2004,reg
Craig Waibel,SJ ,D,23,23,2005,2004,reg
Jeff Parke,MET,D,28,27,2409,2004,reg
Ricardo Clark,MET,M,26,19,1765,2004,reg
Joselito Vaca,MET,M,22,20,1672,2004,reg
Kenny Arena,MET,D,10,8,707,2004,reg
Taylor Graham,KC ,D,17,7,746,2004,reg
Craig Capano,CHI,M,13,4,436,2004,reg
Mike Petke,DC ,D,26,23,2027,2004,reg
Matt Behncke,DAL,D,17,14,1239,2004,reg
Shavar Thomas,KC ,D,25,22,1879,2004,reg
Arturo Alvarez,SJ ,M,11,2,373,2004,reg
Troy Dayak,SJ ,D,16,15,1367,2004,reg
Zizi Roberts,COL,F,5,4,363,2004,reg
Jimmy Conrad,KC ,D,29,29,2610,2004,reg
Steve Jolley,DAL,D,28,28,2428,2004,reg
Igor Simutenkov,KC ,M-F,9,5,455,2004,reg
Kelly Gray,CHI,D-M,25,23,2112,2004,reg
Joe Franchino,NE ,M,20,20,1693,2004,reg
Francisco Gomez,KC ,M,23,10,1091,2004,reg
Simon Elliott,CLB,M,27,26,2353,2004,reg
Richie Baker,NE ,M,20,11,1047,2004,reg
Cobi Jones,LA ,M,23,20,1749,2004,reg
Antonio de la Torre,COL,D,28,28,2409,2004,reg
Mark Lisi,MET,M,11,8,694,2004,reg
Bobby Convey,DC ,M,10,10,823,2004,reg
Shalrie Joseph,NE ,M,23,23,2032,2004,reg
DaMarcus Beasley,CHI,D,15,14,1290,2004,reg
Ricky Lewis,COL,D,18,11,1141,2004,reg
Scott Buete,CHI,M,13,8,700,2004,reg
Logan Pause,CHI,M,21,19,1481,2004,reg
Joe-Max Moore,NE ,F,3,3,246,2004,reg
Eric Denton,CLB,D,18,16,1310,2004,reg
Bryan Namoff,DC ,D,27,27,2384,2004,reg
Craig Ziadie,MET,D,15,14,1289,2004,reg
Chris Wingert,CLB,D,22,16,1487,2004,reg
Kerry Zavagnin,KC ,M,24,24,2160,2004,reg
Chris Leitch,MET,D,29,29,2610,2004,reg
Brian Kamler,NE ,M,22,20,1653,2004,reg
Evan Whitfield,CHI,D,23,19,1664,2004,reg
Peter Vagenas,LA ,M,12,10,912,2004,reg
Joey DiGiamarino,COL,M,8,5,412,2004,reg
Ryan Cochrane,SJ ,D,18,18,1459,2004,reg
Nick Garcia,KC ,D,26,26,2295,2004,reg
C.J. Brown,CHI,D,24,24,2130,2004,reg
Paul Broome,LA ,M,22,20,1758,2004,reg
Chris Gbandi,DAL,D,23,20,1771,2004,reg
Marshall Leonard,NE ,M,25,22,1992,2004,reg
Danny Szetela,CLB,M,8,4,373,2004,reg
Ritchie Kotschau,COL,D,28,26,2350,2004,reg
Orlando Perez,CHI,D,17,13,1074,2004,reg
Gilberto Flores,MET,M,7,7,451,2004,reg
David Testo,CLB,M-F,16,4,441,2004,reg
Rey Angel Martinez,COL,F,7,3,313,2004,reg
Marcelo Saragosa,LA ,M,26,24,2122,2004,reg
Carey Talley,DAL,D,23,19,1687,2004,reg
Jim Curtin,CHI,D,30,30,2700,2004,reg
Cory Gibbs,DAL,D,21,21,1850,2004,reg
Brian Carroll,DC ,M,30,26,2435,2004,reg
Ian Russell,SJ ,D,22,12,1087,2004,reg
Chad Marshall,CLB,D,28,27,2446,2004,reg
Erick Scott,CLB,F,6,2,142,2004,reg
Michael Bradley,TOR,M,0,0,0,2004,reg
Eddie Robinson,SJ ,D,8,6,458,2004,reg
Chris Roner,SJ ,M,0,0,0,2004,reg
Devin Barclay,CLB,F,3,1,72,2004,reg
Steve Howey,NE ,D,3,3,193,2004,reg
Nelson Akwari,CLB,D,19,16,1400,2004,reg
Jesse Marsch,CHI,M,10,8,680,2004,reg
Eliseo Quintanilla,DC ,F-M,0,0,0,2004,reg
Seth Stammler,MET,M-D,1,0,1,2004,reg
Kevin Ara,DC ,M,6,1,113,2004,reg
Adrian Cann,COL,D,2,0,11,2004,reg
Roger Levesque,SJ ,M,0,0,0,2004,reg
David Wagenfuhr,DAL,D,0,0,0,2004,reg
Ty Maurin,DAL,M,0,0,0,2004,reg
Vuk Rasovic,KC ,D,1,1,45,2004,reg
Sumed Ibrahim,CHI,M,3,1,82,2004,reg
Bobby Thompson,NE ,M,0,0,0,2004,reg
Jason Thompson,DAL,F,2,0,61,2004,reg
Scot Thompson,LA ,D,1,0,1,2004,reg
Brian Roberts,KC ,D,0,0,0,2004,reg
Tighe Dombrowski,SJ ,M,4,0,44,2004,reg
Michael Erush,COL,M,0,0,0,2004,reg
David de la Torre,COL,D-M,0,0,0,2004,reg
G.R. Cannon,DC ,D,1,0,35,2004,reg
Denny Clanton,CHI,D,10,6,499,2004,reg
Perek Belleh,NE ,F,0,0,0,2004,reg
Jake Traeger,CLB,D,1,0,3,2004,reg
Luke Vercollone,NE ,M,2,0,2,2004,reg
Tim Lawson,DC ,M,0,0,0,2004,reg
Jamal Sutton,CLB,F,1,0,4,2004,reg
Nana Kuffour,DC ,F,5,1,90,2004,reg
Josh Gardner,LA ,M,2,0,25,2004,reg
Chris Aloisi,LA ,D,4,3,280,2004,reg
Dante Washington,CLB,F,1,0,19,2004,reg
Brandon Prideaux,DC ,D,23,16,1455,2004,reg
Daouda Kante,NE ,D,4,3,220,2004,reg
Rusty Pierce,NE ,D,14,13,1179,2004,reg
Hong Myung Bo,LA ,D,13,9,856,2004,reg
Chris Carrieri,CHI,F,1,0,34,2004,reg
Santino Quaranta,DC ,M-F,1,0,23,2004,reg
Zach Kingsley,COL,M,2,1,78,2004,reg
Robin Fraser,CLB,D,28,28,2520,2004,reg
Wes Hart,SJ ,D-M,18,13,1178,2004,reg
Jordan Stone,DAL,M,5,1,143,2004,reg
Khari Stephenson,KC ,M,3,0,43,2004,reg
Preki,KC ,M,2,1,89,2004,reg
Leonard Griffin,CHI,D,9,3,329,2004,reg
Clarence Goodson,DAL,D,5,2,247,2004,reg
Tim Regan,MET,D,12,7,577,2004,reg
David Castellanos,COL,F,3,1,132,2004,reg
Justin Detter,KC ,F,6,2,161,2004,reg
Guillermo Gonzalez,LA ,M,6,1,111,2004,reg
Stephen Herdsman,CLB,D,8,8,675,2004,reg
Danny Califf,LA ,D,13,10,853,2004,reg
Ryan Suarez,LA ,D,26,25,2154,2004,reg
Tenywa Bonseu,MET,D,14,13,1163,2004,reg
Avery John,NE ,D,21,19,1806,2004,reg
Pablo Mastroeni,COL,M,17,17,1467,2004,reg
Alexandre Boucicaut,CHI,M,5,1,162,2004,reg
Jamil Walker,SJ ,M-F,10,2,236,2004,reg
Alan Gordon,LA ,F,3,2,142,2004,reg
Brian Maisonneuve,CLB,M,9,5,427,2004,reg
Philip Salyer,DAL,D,17,16,1407,2004,reg
Ezra Hendrickson,DC ,D,12,8,785,2004,reg
Todd Dunivant,SJ ,D,16,13,1210,2004,reg
Ramon Nunez,DAL,M,8,0,103,2004,reg
David Stokes,DC ,D,11,3,408,2004,reg
Gary Sullivan,COL,D,16,4,335,2004,reg
Daryl Powell,COL,M,13,12,1013,2004,reg
Milton Reyes,DAL,D-M,12,9,827,2004,reg
Eddie Pope,MET,D,22,22,1928,2004,reg
Pablo Brenes,MET,M-D,14,5,705,2004,reg
Diego Walsh,KC ,M,15,11,687,2004,reg
Alex Zotinca,KC ,D,25,20,1779,2004,reg
Taylor Twellman,NE ,F,25,25,2226,2005,reg
Jaime Moreno,DC ,F,29,28,2445,2005,reg
Landon Donovan,LA ,M-F,22,20,1886,2005,reg
Jeff Cunningham,COL,F,26,17,1667,2005,reg
Amado Guevara,MET,M,26,26,2284,2005,reg
Christian Gomez,DC ,M,31,30,2419,2005,reg
Hérculez Gómez,LA ,F,22,16,1506,2005,reg
Carlos Ruiz,DAL,F,19,18,1549,2005,reg
Josh Wolff,KC ,F,22,22,1910,2005,reg
Clint Dempsey,NE ,M-F,26,26,2319,2005,reg
Youri Djorkaeff,MET,F-M,24,24,1986,2005,reg
Dwayne De Rosario,SJ ,M,28,26,2375,2005,reg
Jason Kreis,RSL,M,24,24,2160,2005,reg
Scott Sealy,KC ,F,28,20,1668,2005,reg
Edson Buddle,CLB,F,23,21,1762,2005,reg
Pat Noonan,NE ,F,21,21,1843,2005,reg
Chris Rolfe,CHI,F,29,21,1941,2005,reg
Eddie Gaven,MET,M,28,26,2257,2005,reg
Alejandro Moreno,SJ ,F,31,24,2167,2005,reg
Chris Klein,KC ,M,31,31,2765,2005,reg
Mark Chung,COL,M,30,28,2487,2005,reg
Peguero Jean Philippe,COL,F,26,20,1839,2005,reg
Ante Razov,CLB,F,25,21,1935,2005,reg
Brian Ching,SJ ,F,16,11,990,2005,reg
Roberto Mina,DAL,F,21,15,1269,2005,reg
Sasha Victorine,KC ,M,30,30,2658,2005,reg
Nate Jaqua,CHI,F,18,15,1361,2005,reg
Sergio Galvan Rey,MET,F,27,16,1596,2005,reg
Ronnie O'Brien,DAL,M,28,28,2512,2005,reg
Ronald Cerritos,SJ ,F,30,28,2308,2005,reg
Thiago,CHI,M,27,25,2220,2005,reg
Shalrie Joseph,NE ,M,31,31,2788,2005,reg
Mike Magee,MET,M,29,21,1830,2005,reg
Santino Quaranta,DC ,M-F,18,13,1185,2005,reg
Jovan Kirovski,COL,M-F,31,28,2334,2005,reg
John Wolyniec,CLB,F,25,13,1411,2005,reg
Peter Vagenas,LA ,M,29,28,2477,2005,reg
Alain Nkong,COL,M,28,20,1731,2005,reg
Davy Arnaud,KC ,M,31,28,2525,2005,reg
Andy Williams,RSL,M,26,26,2102,2005,reg
Ramon Nunez,DAL,M,21,12,1139,2005,reg
Jesse Marsch,CHI,M,28,22,1945,2005,reg
Eddie Johnson,DAL,F,15,13,1180,2005,reg
Freddy Adu,DC ,F,25,16,1486,2005,reg
Joshua Gros,DC ,M-D,30,29,2563,2005,reg
Hector Cuadros,CHV,M,26,18,1691,2005,reg
Dema Kovalenko,DC ,M,26,23,2056,2005,reg
Cornell Glen,CLB,F,22,13,1238,2005,reg
Dedi Ben Dayan,COL,M-D,8,3,358,2005,reg
Knox Cameron,CLB,F,20,9,803,2005,reg
Abe Thompson,DAL,F,18,6,671,2005,reg
Jack Jewsbury,KC ,M,29,6,993,2005,reg
Chris Henderson,CLB,M,29,29,2428,2005,reg
Justin Mapp,CHI,M,29,28,2356,2005,reg
Brian Mullan,SJ ,D,25,23,1996,2005,reg
Cobi Jones,LA ,M,31,27,2393,2005,reg
Clint Mathis,RSL,M,27,27,2123,2005,reg
Gonzalo Segares,CHI,D,21,21,1864,2005,reg
Lubos Reiter,CHI,F,14,9,771,2005,reg
Khano Smith,NE ,M,23,8,925,2005,reg
Ricardo Clark,SJ ,M,30,28,2491,2005,reg
Jordan Cila,RSL,F-M,12,8,645,2005,reg
Bobby Boswell,DC ,D,27,26,2343,2005,reg
Aaron Pitchkolan,DAL,D,20,15,1442,2005,reg
Juan Francisco Palencia,CHV,F,9,9,810,2005,reg
Ezra Hendrickson,CHV,D,31,31,2745,2005,reg
Isaac Romo,CHV,F,25,11,1187,2005,reg
Thiago Martins,CHV,F,22,21,1779,2005,reg
Frankie Hejduk,CLB,D,18,15,1396,2005,reg
Brad Davis,SJ ,M,18,16,1408,2005,reg
Bobby Rhine,DAL,M,28,27,2438,2005,reg
Jamil Walker,DC ,M-F,22,6,729,2005,reg
Ramon Ramirez,CHV,M,31,31,2573,2005,reg
Ivan Guerrero,CHI,M,26,26,2314,2005,reg
Andy Dorman,NE ,M,30,19,1954,2005,reg
Jose Cancela,NE ,M,25,22,1642,2005,reg
Ben Olsen,DC ,M,23,22,1874,2005,reg
Arturo Alvarez,DAL,M,24,15,1282,2005,reg
Jose Burciaga Jr.,KC ,D,31,31,2667,2005,reg
Abbe Ibrahim,MET,F,16,6,575,2005,reg
Antonio Martinez,CHV,F-M,25,16,1601,2005,reg
Richard Mulrooney,DAL,M,7,7,574,2005,reg
Jimmy Conrad,KC ,D,25,25,2241,2005,reg
Preki,KC ,M,16,4,475,2005,reg
Kelly Gray,CHI,D-M,26,25,2281,2005,reg
Arturo Torres,CHV,F,23,15,1366,2005,reg
Chris Armas,CHI,M,22,22,1879,2005,reg
Terry Cooke,COL,M,20,17,1490,2005,reg
Luchi Gonzalez,COL,F,20,19,1448,2005,reg
Andy Herron,CHI,F,20,13,980,2005,reg
Matt Taylor,CHV,F,21,14,1303,2005,reg
Jamie Watson,RSL,M,19,6,815,2005,reg
Clarence Goodson,DAL,D,29,28,2488,2005,reg
Douglas Sequeira,CHV,M,23,23,2070,2005,reg
Brian Dunseth,RSL,D,24,24,2011,2005,reg
Danny Califf,SJ ,D,20,20,1742,2005,reg
Eric Vasquez,CLB,M,11,8,703,2005,reg
Seth Trembly,RSL,M-D,22,11,1173,2005,reg
Simon Elliott,CLB,M,32,32,2880,2005,reg
Steve Ralston,NE ,M,21,21,1857,2005,reg
Jay Heaps,NE ,D,31,31,2790,2005,reg
Eric Denton,COL,D,31,30,2693,2005,reg
Michael Bradley,TOR,M,30,30,2628,2005,reg
Kyle Beckerman,RSL,M,30,25,2341,2005,reg
Chad Barrett,CHI,F,20,4,594,2005,reg
David Testo,CLB,M-F,17,12,1030,2005,reg
James Riley,NE ,D,23,12,1292,2005,reg
Brian Carroll,DC ,M,32,30,2567,2005,reg
Jim Curtin,CHI,D,27,24,2143,2005,reg
Ednaldo da Conceicao,LA ,F,19,9,949,2005,reg
Chad Marshall,CLB,D,30,30,2655,2005,reg
Wade Barrett,SJ ,D,30,30,2664,2005,reg
Tyrone Marshall,LA ,D,25,25,2085,2005,reg
Chris Albright,LA ,D,22,21,1772,2005,reg
Julian Nash,SJ ,F,10,1,228,2005,reg
Eddie Robinson,SJ ,D,29,29,2450,2005,reg
Ryan Pore,KC ,M,8,4,285,2005,reg
Jamal Sutton,CLB,F,8,3,327,2005,reg
Bryan Namoff,DC ,D,17,15,1348,2005,reg
Oscar Pareja,DAL,M,18,6,645,2005,reg
Samuel Caballero,CHI,D,17,16,1439,2005,reg
Chris Gbandi,DAL,D,17,17,1519,2005,reg
Marshall Leonard,NE ,M,27,25,1922,2005,reg
Alex Zotinca,KC ,D,16,13,1060,2005,reg
Melvin Tarley,RSL,F,9,9,729,2005,reg
Chris Brown,RSL,M-F,29,25,2124,2005,reg
Guillermo Ramirez,LA ,M,24,18,1590,2005,reg
Marcelo Saragosa,LA ,M,4,2,255,2005,reg
John Thorrington,CHI,M,8,4,368,2005,reg
Ryan Suarez,CHV,D,19,16,1309,2005,reg
Esteban Arias,CHV,D,15,14,1141,2005,reg
Nana Kuffour,DC ,F,3,2,180,2005,reg
Michael Enfield,LA ,M-F,6,2,247,2005,reg
Will Johnson,CHI,D,6,1,161,2005,reg
Kevin Novak,RSL,D,3,2,220,2005,reg
Fabrice Noel,COL,F,7,0,123,2005,reg
Facundo Erpen,DC ,D,8,8,696,2005,reg
Troy Dayak,SJ ,D,7,7,551,2005,reg
Pablo Mastroeni,COL,M,14,12,942,2005,reg
Pablo Chinchilla,LA ,D,19,17,1399,2005,reg
Mike Petke,COL,D,26,26,2250,2005,reg
Wolde Harris,COL,F,10,5,504,2005,reg
Eddie Pope,RSL,D,20,20,1756,2005,reg
Jack Stewart,CHI,D,9,3,400,2005,reg
Domenic Mediate,CLB,M,11,4,475,2005,reg
Mario Rodriguez,CLB,M,19,15,1309,2005,reg
Juan Pablo Garcia,CHV,M,9,9,771,2005,reg
Kyle Martino,CLB,M,27,27,2248,2005,reg
Mark Lisi,MET,M,28,22,1971,2005,reg
Kerry Zavagnin,KC ,M,28,27,2421,2005,reg
Tim Ward,MET,D,13,11,1033,2005,reg
Ned Grabavoy,LA ,M,12,9,655,2005,reg
Orlando Perez,CHV,D,27,24,2068,2005,reg
Joe Franchino,NE ,M,24,23,2011,2005,reg
Carey Talley,DAL,D,20,14,1092,2005,reg
C.J. Brown,CHI,D,20,18,1657,2005,reg
Logan Pause,CHI,M,27,24,2093,2005,reg
Dan Gargan,COL,D,12,5,511,2005,reg
John Wilson,DC ,D,17,11,1098,2005,reg
Leslie Fitzpatrick,RSL,M,18,6,707,2005,reg
David Wagenfuhr,DAL,D,19,15,1368,2005,reg
Robert Scarlett,RSL,M-D,9,8,719,2005,reg
Ritchie Kotschau,COL,D,28,25,2271,2005,reg
Diego Gutierrez,KC ,D,21,18,1701,2005,reg
Todd Dunivant,LA ,D,32,32,2880,2005,reg
Paulo Nagamura,LA ,M,25,24,2028,2005,reg
Francisco Mendoza,CHV,M,24,20,1877,2005,reg
Avery John,NE ,D,14,13,1167,2005,reg
Gustavo Cabrera,RSL,D,4,4,360,2005,reg
Manny Lagos,CLB,M,5,2,187,2005,reg
Steve Guppy,DC ,M,5,4,285,2005,reg
Tony Sanneh,CHI,D,12,11,988,2005,reg
Leo Cullen,COL,M,15,8,750,2005,reg
Craig Waibel,SJ ,D,6,6,527,2005,reg
Kevin Goldthwaite,SJ ,D,3,2,147,2005,reg
Ugo Ihemelu,LA ,D,25,23,2030,2005,reg
Seth Stammler,MET,M-D,10,3,358,2005,reg
Will John,CHI,M-F,6,2,199,2005,reg
Antti Sumiala,KC ,F,2,2,116,2005,reg
Mark Schulte,CLB,D,19,18,1540,2005,reg
David Stokes,DC ,D,10,3,388,2005,reg
Brian Roberts,KC ,D,11,3,337,2005,reg
Rusty Pierce,RSL,D,15,15,1200,2005,reg
Hunter Freeman,COL,D,20,14,1216,2005,reg
Jeff Parke,MET,D,21,19,1632,2005,reg
