pc_code,pc_description,unit,country_code,country_name,quantity,value
99,Other Commodities,Na,599,Unspecified,NA,159.558366
99,Other Commodities,Na,1213,Kenya,NA,16.088382
99,Other Commodities,Na,1395,Tanzania Rep,NA,13.96587
99,Other Commodities,Na,1417,Uganda,NA,9.371726
99,Other Commodities,Na,2035,Benin,NA,1.564994
99,Other Commodities,Na,2050,Burkina Faso,NA,0.465861
99,Other Commodities,Na,2057,Cameroon,NA,0.46598
99,Other Commodities,Na,2067,C Afri Rep,NA,0.173326
99,Other Commodities,Na,2069,Chad,NA,0.141277
99,Other Commodities,Na,2087,Congo P Rep,NA,1.564975
99,Other Commodities,Na,2141,Gabon,NA,0.252075
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,1.659592
99,Other Commodities,Na,2241,Madagascar,NA,1.28042
99,Other Commodities,Na,2255,Mauritania,NA,0.640754
99,Other Commodities,Na,2257,Mauritius,NA,2.991896
99,Other Commodities,Na,2289,Niger,NA,0.169576
99,Other Commodities,Na,2345,Rwanda,NA,0.701755
99,Other Commodities,Na,2353,Senegal,NA,1.39205
99,Other Commodities,Na,2399,Togo,NA,16.12126
99,Other Commodities,Na,2459,Congo D. Rep.,NA,1.599476
99,Other Commodities,Na,3011,Angola,NA,1.417316
99,Other Commodities,Na,3041,Botswana,NA,0.154993
99,Other Commodities,Na,3053,Burundi,NA,0.914374
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.103293
99,Other Commodities,Na,3085,Comoros,NA,0.066765
99,Other Commodities,Na,3102,Djibouti,NA,0.364686
99,Other Commodities,Na,3115,Ethiopia,NA,4.442303
99,Other Commodities,Na,3116,Eritrea,NA,0.151146
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.284644
99,Other Commodities,Na,3143,Gambia,NA,0.200921
99,Other Commodities,Na,3149,Ghana,NA,4.541668
99,Other Commodities,Na,3167,Guinea,NA,0.574668
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.2836
99,Other Commodities,Na,3227,Lesotho,NA,0.000005
99,Other Commodities,Na,3229,Liberia,NA,0.944649
99,Other Commodities,Na,3243,Malawi,NA,0.916923
99,Other Commodities,Na,3249,Mali,NA,1.362197
99,Other Commodities,Na,3267,Mozambique,NA,2.117756
99,Other Commodities,Na,3269,Namibia,NA,0.044549
99,Other Commodities,Na,3291,Nigeria,NA,25.88265
99,Other Commodities,Na,3339,Reunion,NA,0.257027
99,Other Commodities,Na,3349,Sao Tome,NA,0.009886
99,Other Commodities,Na,3355,Seychelles,NA,0.447013
99,Other Commodities,Na,3357,Sierra Leone,NA,0.04671
99,Other Commodities,Na,3363,Somalia,NA,0.171017
99,Other Commodities,Na,3385,Swaziland,NA,1.53043
99,Other Commodities,Na,3461,Zambia,NA,5.49204
99,Other Commodities,Na,4005,Algeria,NA,4.147934
99,Other Commodities,Na,4111,Egypt A Rp,NA,12.291798
99,Other Commodities,Na,4231,Libya,NA,0.242081
99,Other Commodities,Na,4265,Morocco,NA,3.002324
99,Other Commodities,Na,4365,South Africa,NA,11.562181
99,Other Commodities,Na,4381,Sudan,NA,8.046072
99,Other Commodities,Na,4407,Tunisia,NA,2.20323
99,Other Commodities,Na,4463,Zimbabwe,NA,0.683984
99,Other Commodities,Na,5059,Canada,NA,16.955129
99,Other Commodities,Na,5423,U S A,NA,459.122222
99,Other Commodities,Na,6015,Argentina,NA,2.927664
99,Other Commodities,Na,6039,Bolivia,NA,0.055636
99,Other Commodities,Na,6043,Brazil,NA,17.118662
99,Other Commodities,Na,6073,Chile,NA,3.066998
99,Other Commodities,Na,6083,Colombia,NA,1.359107
99,Other Commodities,Na,6109,Ecuador,NA,0.190954
