pc_code,pc_description,unit,country_code,country_name,quantity,value
99,Other Commodities,Na,599,Unspecified,NA,6994.362548
99,Other Commodities,Na,1213,Kenya,NA,3.058141
99,Other Commodities,Na,1395,Tanzania Rep,NA,7.582766
99,Other Commodities,Na,1417,Uganda,NA,0.000057
99,Other Commodities,Na,2035,Benin,NA,5.537281
99,Other Commodities,Na,2057,Cameroon,NA,2.656753
99,Other Commodities,Na,2067,C Afri Rep,NA,0.002264
99,Other Commodities,Na,2069,Chad,NA,2.595296
99,Other Commodities,Na,2087,Congo P Rep,NA,1.392387
99,Other Commodities,Na,2141,Gabon,NA,0.431098
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,3.140688
99,Other Commodities,Na,2241,Madagascar,NA,14.753161
99,Other Commodities,Na,2255,Mauritania,NA,1.951013
99,Other Commodities,Na,2257,Mauritius,NA,0.921572
99,Other Commodities,Na,2289,Niger,NA,0.000303
99,Other Commodities,Na,2353,Senegal,NA,4.103061
99,Other Commodities,Na,2399,Togo,NA,3.816957
99,Other Commodities,Na,2459,Congo D. Rep.,NA,3.033555
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.181719
99,Other Commodities,Na,3085,Comoros,NA,0.085472
99,Other Commodities,Na,3102,Djibouti,NA,0.178892
99,Other Commodities,Na,3115,Ethiopia,NA,0.520232
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.397377
99,Other Commodities,Na,3143,Gambia,NA,1.309186
99,Other Commodities,Na,3149,Ghana,NA,4.206529
99,Other Commodities,Na,3167,Guinea,NA,3.452087
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.119834
99,Other Commodities,Na,3229,Liberia,NA,1.003406
99,Other Commodities,Na,3243,Malawi,NA,0.000171
99,Other Commodities,Na,3249,Mali,NA,4.931787
99,Other Commodities,Na,3267,Mozambique,NA,1.864367
99,Other Commodities,Na,3269,Namibia,NA,1.793101
99,Other Commodities,Na,3291,Nigeria,NA,3.392093
99,Other Commodities,Na,3339,Reunion,NA,0.632514
99,Other Commodities,Na,3355,Seychelles,NA,0.002886
99,Other Commodities,Na,3357,Sierra Leone,NA,1.377874
99,Other Commodities,Na,3363,Somalia,NA,0.992959
99,Other Commodities,Na,3385,Swaziland,NA,0.150886
99,Other Commodities,Na,3461,Zambia,NA,5.68407
99,Other Commodities,Na,4005,Algeria,NA,0.000145
99,Other Commodities,Na,4111,Egypt A Rp,NA,5.333657
99,Other Commodities,Na,4265,Morocco,NA,0.47496
99,Other Commodities,Na,4365,South Africa,NA,23.48942
99,Other Commodities,Na,4381,Sudan,NA,44.778528
99,Other Commodities,Na,4407,Tunisia,NA,1.877769
99,Other Commodities,Na,4463,Zimbabwe,NA,0.386106
99,Other Commodities,Na,5059,Canada,NA,27.01401
99,Other Commodities,Na,5423,U S A,NA,385.7941
99,Other Commodities,Na,5424,Us Minor Outlying Islands,NA,0.014352
99,Other Commodities,Na,6015,Argentina,NA,8.339048
99,Other Commodities,Na,6039,Bolivia,NA,0.000024
99,Other Commodities,Na,6043,Brazil,NA,56.06988
99,Other Commodities,Na,6073,Chile,NA,0.898265
99,Other Commodities,Na,6083,Colombia,NA,0.079256
99,Other Commodities,Na,6109,Ecuador,NA,0.110795
99,Other Commodities,Na,6317,Paraguay,NA,0.327876
99,Other Commodities,Na,6319,Peru,NA,0.696664
99,Other Commodities,Na,6427,Uruguay,NA,0.353691
99,Other Commodities,Na,6433,Venezuela,NA,0.027804
99,Other Commodities,Na,7020,Aruba,NA,0.262811
99,Other Commodities,Na,7029,Barbados,NA,0.000002
99,Other Commodities,Na,7031,Belize,NA,0.148504
99,Other Commodities,Na,7159,Grenada,NA,0.06405
99,Other Commodities,Na,7203,Jamaica,NA,0.060048
99,Other Commodities,Na,7405,Trinidad,NA,0.000195
99,Other Commodities,Na,8091,Costa Rica,NA,0.203595
99,Other Commodities,Na,8113,El Salvador,NA,0.15731
99,Other Commodities,Na,8165,Guatemala,NA,0.000207
99,Other Commodities,Na,8177,Honduras,NA,0.073508
99,Other Commodities,Na,8287,Nicaragua,NA,0.49933
99,Other Commodities,Na,9007,Ameri Samoa,NA,0.061273
99,Other Commodities,Na,9093,Cuba,NA,0.000912
99,Other Commodities,Na,9103,Dominic Rep,NA,0.044189
99,Other Commodities,Na,9175,Haiti,NA,0.196832
99,Other Commodities,Na,9259,Mexico,NA,3.735682
99,Other Commodities,Na,9277,Netherlandantil,NA,0.111247
99,Other Commodities,Na,9311,Panama Republic,NA,0.025171
99,Other Commodities,Na,9331,Puerto Rico,NA,0.054956
99,Other Commodities,Na,9383,Suriname,NA,0.159778
99,Other Commodities,Na,9439,Virgin Is Us,NA,0.000664
99,Other Commodities,Na,10001,Afghanistan,NA,6.374757
99,Other Commodities,Na,10017,Australia,NA,17.661801
99,Other Commodities,Na,10027,Bangladesh Pr,NA,20.733043
99,Other Commodities,Na,10038,Bhutan,NA,4.782305
99,Other Commodities,Na,10047,Brunei,NA,0.00004
99,Other Commodities,Na,10056,Cambodia,NA,0.076121
99,Other Commodities,Na,10077,China P Rp,NA,847.629071
99,Other Commodities,Na,10127,Fiji Is,NA,0.003116
99,Other Commodities,Na,10176,Heard Macdonald,NA,0.000288
99,Other Commodities,Na,10179,Hong Kong,NA,137.428128
99,Other Commodities,Na,10187,Indonesia,NA,76.452024
99,Other Commodities,Na,10189,Iran,NA,11.628699
99,Other Commodities,Na,10205,Japan,NA,61.116588
99,Other Commodities,Na,10217,Korea Rp,NA,97.948676
99,Other Commodities,Na,10223,Lao Pd Rp,NA,0.045116
99,Other Commodities,Na,10245,Malaysia,NA,35.896417
99,Other Commodities,Na,10252,Marshall Island,NA,0.016273
99,Other Commodities,Na,10258,Myanmar,NA,4.88432
99,Other Commodities,Na,10261,Mongolia,NA,0.000435
99,Other Commodities,Na,10271,Nauru Rp,NA,0.033901
99,Other Commodities,Na,10273,Nepal,NA,18.627891
99,Other Commodities,Na,10285,New Zealand,NA,6.560145
99,Other Commodities,Na,10309,Pakistan Ir,NA,9.886999
99,Other Commodities,Na,10323,Philippines,NA,3.334346
99,Other Commodities,Na,10359,Singapore,NA,102.771715
99,Other Commodities,Na,10369,Sri Lanka Dsr,NA,48.38972
99,Other Commodities,Na,10397,Thailand,NA,101.52641
99,Other Commodities,Na,10437,Vietnam Soc Rep,NA,63.265752
99,Other Commodities,Na,10447,Samoa,NA,0.005267
99,Other Commodities,Na,11025,Baharain Is,NA,3.541411
99,Other Commodities,Na,11191,Iraq,NA,0.000505
99,Other Commodities,Na,11207,Jordan,NA,0.203185
99,Other Commodities,Na,11219,Kuwait,NA,13.225649
99,Other Commodities,Na,11225,Lebanon,NA,0.00611
99,Other Commodities,Na,11301,Oman,NA,17.781284
99,Other Commodities,Na,11335,Qatar,NA,1.757997
99,Other Commodities,Na,11351,Saudi Arab,NA,5.628906
99,Other Commodities,Na,11391,Syria,NA,0.000091
99,Other Commodities,Na,11419,U Arab Emts,NA,72.531212
99,Other Commodities,Na,11453,Yemen Republc,NA,0.101769
99,Other Commodities,Na,12075,Taiwan,NA,20.257036
99,Other Commodities,Na,12131,Fr Guiana,NA,0.299846
99,Other Commodities,Na,12195,Israel,NA,22.020522
99,Other Commodities,Na,12215,Korea Dp Rp,NA,0.166737
99,Other Commodities,Na,12239,Macao,NA,0.000374
99,Other Commodities,Na,12247,Maldives,NA,0.186396
99,Other Commodities,Na,12401,Tokelau Is,NA,0.000005
99,Other Commodities,Na,13019,Austria,NA,13.538042
99,Other Commodities,Na,13033,Belgium,NA,60.293189
99,Other Commodities,Na,13101,Denmark,NA,18.617969
99,Other Commodities,Na,13125,Finland,NA,313.869882
99,Other Commodities,Na,13129,France,NA,83.618104
99,Other Commodities,Na,13147,Germany,NA,188.905585
99,Other Commodities,Na,13155,Greece,NA,0.682191
99,Other Commodities,Na,13193,Ireland,NA,24.047479
99,Other Commodities,Na,13197,Italy,NA,45.687892
99,Other Commodities,Na,13235,Luxembourg,NA,0.25345
99,Other Commodities,Na,13275,Netherland,NA,54.547897
99,Other Commodities,Na,13327,Portugal,NA,7.542334
99,Other Commodities,Na,13346,San Marino,NA,0.000703
99,Other Commodities,Na,13367,Spain,NA,27.979836
99,Other Commodities,Na,13387,Sweden,NA,24.046067
99,Other Commodities,Na,13421,U K,NA,57.680327
99,Other Commodities,Na,14185,Iceland,NA,0.004633
99,Other Commodities,Na,14297,Norway,NA,4.249514
99,Other Commodities,Na,14389,Switzerland,NA,13.449339
99,Other Commodities,Na,15021,Azerbaijan,NA,0.036871
99,Other Commodities,Na,15040,Bosnia-Hrzgovin,NA,0.000547
99,Other Commodities,Na,15049,Bulgaria,NA,6.789254
99,Other Commodities,Na,15055,Belarus,NA,1.184433
99,Other Commodities,Na,15092,Croatia,NA,0.168306
99,Other Commodities,Na,15098,Czech Republic,NA,6.990549
99,Other Commodities,Na,15114,Estonia,NA,0.24778
99,Other Commodities,Na,15145,Georgia,NA,0.085732
99,Other Commodities,Na,15181,Hungary,NA,8.018311
99,Other Commodities,Na,15212,Kazakhstan,NA,1.661193
99,Other Commodities,Na,15216,Kyrghyzstan,NA,0.288464
99,Other Commodities,Na,15224,Latvia,NA,0.05173
99,Other Commodities,Na,15234,Lithuania,NA,1.875657
99,Other Commodities,Na,15240,Macedonia,NA,0.000088
99,Other Commodities,Na,15325,Poland,NA,7.815321
99,Other Commodities,Na,15343,Romania,NA,1.20551
99,Other Commodities,Na,15344,Russia,NA,8.813235
99,Other Commodities,Na,15352,Serbia,NA,0.121506
99,Other Commodities,Na,15358,Slovak Rep,NA,0.715472
99,Other Commodities,Na,15360,Slovenia,NA,1.108937
99,Other Commodities,Na,15393,Tajikistan,NA,0.000004
99,Other Commodities,Na,15410,Turkmenistan,NA,0.104362
99,Other Commodities,Na,15422,Ukraine,NA,2.698546
99,Other Commodities,Na,15430,Uzbekistan,NA,1.045274
99,Other Commodities,Na,16009,Andorra,NA,0.000006
99,Other Commodities,Na,16095,Cyprus,NA,0.001064
99,Other Commodities,Na,16233,Liechtenstein,NA,0.000471
99,Other Commodities,Na,16251,Malta,NA,0.903526
99,Other Commodities,Na,16409,Turkey,NA,8.680871
A1,Tea,Kgs,1213,Kenya,4372663,11.306923
A1,Tea,Kgs,1417,Uganda,9800,0.021948
A1,Tea,Kgs,3243,Malawi,491039,1.048652
A1,Tea,Kgs,3267,Mozambique,47200,0.044756
A1,Tea,Kgs,4111,Egypt A Rp,123,0.000186
A1,Tea,Kgs,4265,Morocco,11,0.001583
A1,Tea,Kgs,4463,Zimbabwe,144180,0.27168
A1,Tea,Kgs,5059,Canada,233,0.013518
A1,Tea,Kgs,5423,U S A,34397,0.710873
A1,Tea,Kgs,6015,Argentina,1769780,2.641513
A1,Tea,Kgs,6073,Chile,1200,0.017551
A1,Tea,Kgs,10017,Australia,625,0.012231
A1,Tea,Kgs,10077,China P Rp,677035,2.396594
A1,Tea,Kgs,10187,Indonesia,825421,1.452792
A1,Tea,Kgs,10189,Iran,360733,0.531065
A1,Tea,Kgs,10205,Japan,2916,0.039486
A1,Tea,Kgs,10217,Korea Rp,107,0.004872
A1,Tea,Kgs,10245,Malaysia,141062,0.152684
A1,Tea,Kgs,10258,Myanmar,21600,0.070774
A1,Tea,Kgs,10273,Nepal,11935887,20.801926
A1,Tea,Kgs,10309,Pakistan Ir,900,0.020662
A1,Tea,Kgs,10359,Singapore,2172,0.030433
A1,Tea,Kgs,10369,Sri Lanka Dsr,800508,3.991934
A1,Tea,Kgs,10397,Thailand,231,0.002018
A1,Tea,Kgs,10437,Vietnam Soc Rep,2998237,3.622003
A1,Tea,Kgs,11335,Qatar,2,0.000022
A1,Tea,Kgs,11419,U Arab Emts,37166,0.08841
A1,Tea,Kgs,12075,Taiwan,832,0.012243
A1,Tea,Kgs,13129,France,0,0.000222
A1,Tea,Kgs,13147,Germany,69059,0.507113
A1,Tea,Kgs,13197,Italy,8746,0.193577
A1,Tea,Kgs,13275,Netherland,1900,0.022393
A1,Tea,Kgs,13387,Sweden,1288,0.015343
A1,Tea,Kgs,13421,U K,21436,0.127578
A1,Tea,Kgs,14389,Switzerland,280,0.011236
A1,Tea,Kgs,15092,Croatia,8775,0.069731
A1,Tea,Kgs,15325,Poland,480,0.011237
A1,Tea,Kgs,16409,Turkey,120,0.000182
A2,Coffee,Kgs,1213,Kenya,2535170,3.487536
A2,Coffee,Kgs,1395,Tanzania Rep,697255,0.95828
A2,Coffee,Kgs,1417,Uganda,13113210,20.133139
A2,Coffee,Kgs,2057,Cameroon,159259,0.19902
A2,Coffee,Kgs,2199,Cote D' Ivoire,91145,0.164933
A2,Coffee,Kgs,3115,Ethiopia,19200,0.060637
A2,Coffee,Kgs,3167,Guinea,38899,0.065344
A2,Coffee,Kgs,4111,Egypt A Rp,318,0.003373
A2,Coffee,Kgs,4265,Morocco,102,0.002243
A2,Coffee,Kgs,4365,South Africa,75,0.000825
A2,Coffee,Kgs,5059,Canada,89,0.001222
A2,Coffee,Kgs,5423,U S A,18128,0.232653
A2,Coffee,Kgs,6083,Colombia,62531,0.551996
A2,Coffee,Kgs,6109,Ecuador,1056,0.013742
A2,Coffee,Kgs,6319,Peru,2048365,2.722113
A2,Coffee,Kgs,8177,Honduras,1597212,2.241419
A2,Coffee,Kgs,10077,China P Rp,879684,1.397482
A2,Coffee,Kgs,10187,Indonesia,12312097,21.002569
A2,Coffee,Kgs,10205,Japan,1,0.000054
A2,Coffee,Kgs,10217,Korea Rp,41746,0.885937
A2,Coffee,Kgs,10223,Lao Pd Rp,180000,0.617076
A2,Coffee,Kgs,10245,Malaysia,23670,0.164646
A2,Coffee,Kgs,10315,Papua N Gna,369600,0.749298
A2,Coffee,Kgs,10323,Philippines,30,0.000182
A2,Coffee,Kgs,10359,Singapore,258,0.002104
A2,Coffee,Kgs,10437,Vietnam Soc Rep,43683393,81.306254
A2,Coffee,Kgs,11301,Oman,23,0.000226
A2,Coffee,Kgs,11419,U Arab Emts,52836,0.386677
A2,Coffee,Kgs,13033,Belgium,34,0.002243
A2,Coffee,Kgs,13147,Germany,12416,0.094151
A2,Coffee,Kgs,13197,Italy,87772,0.594181
A2,Coffee,Kgs,13275,Netherland,817,0.004632
A2,Coffee,Kgs,13327,Portugal,200,0.004623
A2,Coffee,Kgs,13421,U K,10288,0.114758
A2,Coffee,Kgs,14389,Switzerland,560,0.007059
A2,Coffee,Kgs,15325,Poland,2930,0.016641
A2,Coffee,Kgs,15343,Romania,25,0.000589
A2,Coffee,Kgs,16409,Turkey,780,0.005281
A4,Rice(Other Than Basmoti),Ton,5423,U S A,356,0.356426
A4,Rice(Other Than Basmoti),Ton,10077,China P Rp,0,0.000045
A4,Rice(Other Than Basmoti),Ton,10217,Korea Rp,1,0.001763
A4,Rice(Other Than Basmoti),Ton,10273,Nepal,48,0.026167
A4,Rice(Other Than Basmoti),Ton,10397,Thailand,402,0.346701
A4,Rice(Other Than Basmoti),Ton,11419,U Arab Emts,5,0.002977
A4,Rice(Other Than Basmoti),Ton,13197,Italy,139,0.175165
A4,Rice(Other Than Basmoti),Ton,13367,Spain,193,0.171059
A5,Wheat,Ton,10017,Australia,2202878,525.381367
A5,Wheat,Ton,13129,France,107910,22.76728
A5,Wheat,Ton,13197,Italy,0,0.000416
A5,Wheat,Ton,15049,Bulgaria,291924,63.440921
A5,Wheat,Ton,15234,Lithuania,45657,10.785667
A5,Wheat,Ton,15260,Moldova,43942,9.839961
A5,Wheat,Ton,15344,Russia,153102,33.169909
A5,Wheat,Ton,15422,Ukraine,2904021,603.250499
A6,Other Cereals,Ton,4365,South Africa,526,0.315371
A6,Other Cereals,Ton,4463,Zimbabwe,0,0.000092
A6,Other Cereals,Ton,5059,Canada,158,0.064973
A6,Other Cereals,Ton,5423,U S A,4534,2.714177
A6,Other Cereals,Ton,6015,Argentina,139318,31.943075
A6,Other Cereals,Ton,6043,Brazil,3372,1.671434
A6,Other Cereals,Ton,9259,Mexico,0,0.000271
A6,Other Cereals,Ton,10017,Australia,12637,4.286442
A6,Other Cereals,Ton,10273,Nepal,655,0.155789
A6,Other Cereals,Ton,10309,Pakistan Ir,707,0.167122
A6,Other Cereals,Ton,10323,Philippines,0,0.000345
A6,Other Cereals,Ton,10397,Thailand,0,0.003215
A6,Other Cereals,Ton,11419,U Arab Emts,5,0.002576
A6,Other Cereals,Ton,13129,France,68444,14.933369
A6,Other Cereals,Ton,13421,U K,74,0.015487
A6,Other Cereals,Ton,15260,Moldova,50,0.025435
A6,Other Cereals,Ton,15344,Russia,4762,0.963517
A6,Other Cereals,Ton,15422,Ukraine,76005,15.97732
A6,Other Cereals,Ton,16409,Turkey,120,0.05819
A7,Pulses,Ton,1213,Kenya,41968,35.148512
A7,Pulses,Ton,1395,Tanzania Rep,297803,224.270941
A7,Pulses,Ton,1417,Uganda,16409,15.601386
A7,Pulses,Ton,2035,Benin,1073,1.214008
A7,Pulses,Ton,2199,Cote D' Ivoire,488,0.397007
A7,Pulses,Ton,2241,Madagascar,5974,5.006748
A7,Pulses,Ton,3102,Djibouti,72,0.078905
A7,Pulses,Ton,3115,Ethiopia,34137,25.865944
A7,Pulses,Ton,3243,Malawi,46612,39.317742
A7,Pulses,Ton,3267,Mozambique,197936,145.141293
A7,Pulses,Ton,3291,Nigeria,6279,7.236667
A7,Pulses,Ton,4111,Egypt A Rp,2389,1.240771
A7,Pulses,Ton,4265,Morocco,225,0.35313
A7,Pulses,Ton,4365,South Africa,25,0.020076
A7,Pulses,Ton,4381,Sudan,59909,70.396867
A7,Pulses,Ton,5059,Canada,2402423,1155.884885
A7,Pulses,Ton,5423,U S A,319251,182.75617
A7,Pulses,Ton,6015,Argentina,31833,19.93163
A7,Pulses,Ton,6039,Bolivia,360,0.349569
A7,Pulses,Ton,6043,Brazil,1530,0.925056
A7,Pulses,Ton,6317,Paraguay,339,0.300282
A7,Pulses,Ton,6427,Uruguay,72,0.032037
A7,Pulses,Ton,6433,Venezuela,198,0.206416
A7,Pulses,Ton,7031,Belize,86,0.108409
A7,Pulses,Ton,9259,Mexico,2657,4.252168
A7,Pulses,Ton,10001,Afghanistan,12718,12.293489
A7,Pulses,Ton,10017,Australia,1174150,921.721104
A7,Pulses,Ton,10027,Bangladesh Pr,58,0.053519
A7,Pulses,Ton,10077,China P Rp,67176,64.809244
A7,Pulses,Ton,10217,Korea Rp,320,0.283597
A7,Pulses,Ton,10245,Malaysia,240,0.227133
A7,Pulses,Ton,10258,Myanmar,653201,805.456054
A7,Pulses,Ton,10273,Nepal,1000,0.527217
A7,Pulses,Ton,10309,Pakistan Ir,374,0.260266
A7,Pulses,Ton,10397,Thailand,1707,1.58266
A7,Pulses,Ton,11191,Iraq,331,0.241881
A7,Pulses,Ton,11225,Lebanon,200,0.150617
A7,Pulses,Ton,11419,U Arab Emts,1505,1.739616
A7,Pulses,Ton,12131,Fr Guiana,262,0.109112
A7,Pulses,Ton,13129,France,216364,81.125994
A7,Pulses,Ton,13147,Germany,23069,9.57504
A7,Pulses,Ton,13197,Italy,321,0.460508
A7,Pulses,Ton,13421,U K,0,0.000237
A7,Pulses,Ton,15049,Bulgaria,15849,6.127377
A7,Pulses,Ton,15098,Czech Republic,1231,0.526797
A7,Pulses,Ton,15114,Estonia,54161,18.499763
A7,Pulses,Ton,15212,Kazakhstan,1004,0.918568
A7,Pulses,Ton,15216,Kyrghyzstan,813,0.860238
A7,Pulses,Ton,15224,Latvia,1256,0.464543
A7,Pulses,Ton,15234,Lithuania,284964,97.670781
A7,Pulses,Ton,15260,Moldova,4048,1.56271
A7,Pulses,Ton,15325,Poland,1419,0.64848
A7,Pulses,Ton,15343,Romania,44195,16.714672
A7,Pulses,Ton,15344,Russia,392274,181.189148
A7,Pulses,Ton,15422,Ukraine,157317,60.169168
A7,Pulses,Ton,15430,Uzbekistan,23436,18.132452
A7,Pulses,Ton,16409,Turkey,3940,4.098416
A8,Tobacco Unmanufactured,Kgs,4111,Egypt A Rp,27000,0.084793
A8,Tobacco Unmanufactured,Kgs,4463,Zimbabwe,1227976,6.020484
A8,Tobacco Unmanufactured,Kgs,5423,U S A,9600,0.098582
A8,Tobacco Unmanufactured,Kgs,6043,Brazil,138600,0.789349
